Company/Product,Founder,Gender,Season,Episode,Qualtrics number,Deal Offered,Deal Made,# of sharks interested,Valuation Sought (in M),Valuation Got (M),Percentage Got,Evaluation Notes,OG Order,video_id,professionalism Mean,unprofessionalism Mean,status,presenter_effectiveness,product_effectiveness,presenter_impression,masculinity,femininity,gender_typicality,warmth,conscientiousness,competence,professionalism_factor,incompetence,incivility,unprofessionalism_factor
HeartPup,Anastasia Heart,F,6,3,Female success 11,Yes,Yes,1,0.25,0.125,50,,33,F11_S,5.5,2,4.533333,5.64,5.666667,5.933333,,4.8,4.8,6,5.325,5.425,5.583333,2.15,1.933333,2.041667
Table Jack,Steve Christian,M,6,4,Male fail 22,No,No,0,-,-,-,,34,M22_F,5.727273,1.909091,4.424242,5.24,4.133333,5.533333,5.5,,5.5,5.659091,5.454545,5.613636,5.575758,1.954545,1.69697,1.825758
The Caddy Girls,Meghan Tarmey,F,6,5,Female fail 23,Yes,No,1,-,-,-,,36,F23_F,6.333333,1.666667,4.944444,5.833333,6,6.111111,,,,5.6875,5.666667,5.8125,5.722222,1.854167,1.694444,1.774306
The Oilerie,Curt Campbell,M,6,6,Male fail 23,No,No,0,-,-,-,,35,M23_F,5.9,1.9,5.3,6.24,6.066667,5.866667,5.2,,5.2,5.45,5.533333,5.575,5.519444,1.775,1.666667,1.720833
BeardBrand,Eric Bandholz,M,6,7,Male fail 2,No,No,0,-,-,-,,37,M2_F,5.363636,2.545455,3.909091,3.68,3.066667,3.6,5.5,,5.5,5.121212,5.272727,5.128788,5.174242,2.045455,1.969697,2.007576
Myself Belts,Talia,F,6,7,Female success 15,Yes,Yes,1,0.6,0.3,50,,38,F15_S,6.333333,1.333333,5.37037,5.7,4.916667,6.083333,,6,6,5.833333,5.277778,5.694444,5.601852,1.5,1.444444,1.472222
TITIN,Patrick Whaley,M,6,7,Male success 22,Yes,Yes,2,10,2.5,25,,39,M22_S,5.454545,2.545455,4.393939,4.6,4.5,4.055556,5.6,,5.6,5.181818,5.454545,5.5,5.378788,2.022727,2.030303,2.026515
Man-Pack,Aaron Tweedie,M,6,8,Male fail 14,No,No,0,-,-,-,,43,M14_F,6.272727,1.454545,4.818182,6,4.944444,5.444444,5.8,,5.8,6,5.795455,6,5.931818,1.431818,1.363636,1.397727
The Natural Grip,Ashley Drake,F,6,8,Female success 22,Yes,Yes,2,0.5,0.5,100,,42,F22_S,5.555556,2.444444,5.185185,6.7,6.583333,5,,3.8,3.8,5.472222,5.722222,6.083333,5.759259,1.722222,2.222222,1.972222
Heidi Ho,Heidi Lovig,F,6,9,Female success 12,Yes,Yes,1,0.63,0.417,66.19,,41,F12_S,5.333333,2.5,4.555556,5,4.190476,4.238095,,4.2,4.2,5.708333,5.25,5.1875,5.381944,2.229167,1.611111,1.920139
Storm Stoppers,John Smith,M,6,9,Male fail 20,No,No,0,-,-,-,,40,M20_F,5.818182,2.090909,4.69697,5.733333,4.666667,5,5.4,,5.4,5.386364,5.363636,5.454545,5.401515,2.045455,1.848485,1.94697
EarthLog,Tom Sanetti,M,6,10,Male success 8,Yes,Yes,1,0.8,0.457,57.13,,47,M8_S,5.090909,2.727273,3.69697,4.56,3.933333,4.066667,5.5,,5.5,5.181818,4.75,5.181818,5.037879,2.272727,1.757576,2.015152
Off the Cob Tortilla Chips,Cameron Sheldrake,M,6,10,Male fail 18,No,No,0,-,-,-,,46,M18_F,6.2,1.8,5.266667,5.96,5.333333,5.133333,5.4,,5.4,5.825,5.6,5.575,5.666667,1.775,1.366667,1.570833
Biaggi,Stephen Hersh,M,6,11,Male success 3,Yes,Yes,2,1.667,1.5,89.98,,45,M3_S,5.444444,1.888889,4.185185,5.55,4.833333,4.333333,5.6,,5.6,5.222222,5.388889,5.333333,5.314815,1.777778,1.62963,1.703704
Zipz,Andrew McMurray,M,6,11,Male success 25,Yes,Yes,1,25,25,100,,44,M25_S,6.181818,1.727273,5.272727,5.933333,5.611111,5.444444,6,,6,5.477273,5.590909,5.977273,5.681818,1.568182,1.424242,1.496212
EveDrop,Nathan Shaffer,M,6,12,Male fail 8,No,No,0,-,-,-,,52,M8_F,6.181818,2,5.272727,5.266667,4.888889,5.277778,5.8,,5.8,5.590909,5.840909,5.840909,5.757576,1.659091,1.272727,1.465909
Hoppy Paws,Trina Barkouras,F,6,12,Female success 13,Yes,Yes,1,0.5,0.204,40.8,,51,F13_S,5.727273,2,4.69697,4.533333,4.444444,4.944444,,5.8,5.8,5.772727,5.477273,5.795455,5.681818,1.795455,1.515152,1.655303
Mensch on a Bench,Neal Hoffman,M,6,12,Male success 14,Yes,Yes,3,1.5,1,66.67,,50,M14_S,5.3,2.6,4.5,4.96,3.6,4,4.8,,4.8,5.6,4.85,5.35,5.266667,1.925,2,1.9625
Doorman,Zander Adell,M,6,13,Male success 7,Yes,Yes,4,2.5,2.083,83.32,,49,M7_S,6.363636,1.272727,4.969697,5.92,5.266667,5.266667,5.333333,,5.333333,5.318182,5.818182,5.886364,5.674242,1.431818,1.242424,1.337121
Skinny Shirt,Julie Kalimian,F,6,13,Female fail 21,No,No,0,-,-,-,,48,F21_F,5.727273,2.181818,4.666667,4.95,4.111111,4.722222,,5.8,5.8,6.113636,5.227273,5.136364,5.492424,2.113636,1.333333,1.723485
Bello Verde,Joseph Chay,M,6,15,Male fail 4,Yes,No,1,-,-,-,,55,M4_F,5.5,2,4.333333,5.28,5.2,4.066667,5.2,,5.2,5.425,5.3,5.425,5.383333,1.925,1.566667,1.745833
TycoonRE,Aaron McDaniel,M,6,16,Male fail 24,Yes,No,1,-,-,-,,53,M24_F,5.666667,2.111111,3.777778,3.8,2.333333,4.166667,5.4,,5.4,4.777778,5.027778,5.416667,5.074074,1.888889,1.481481,1.685185
BedJet,Mark Aramli,M,6,17,Male fail 3,No,No,0,-,-,-,,62,M3_F,6.181818,2.090909,4.939394,5.3,4.888889,5.111111,5.2,,5.2,5.704545,5.25,5.575758,5.510101,1.659091,1.454545,1.556818
Fresh Patch,Andrew Feld,M,6,17,Male success 9,Yes,Yes,3,1.5,0.75,50,,61,M9_S,6.3,1.9,4.766667,6.15,5.333333,4.833333,4.333333,,4.333333,6.1,5.9,5.95,5.983333,1.525,1.633333,1.579167
BeverageBoy,Kevin Waltermire,M,6,18,Male success 2,Yes,Yes,2,0.333,0.143,42.94,,60,M2_S,4.5,3.2,3.4,5.16,3.466667,3.8,5.6,,5.6,5.266667,,,5.266667,,,
FunBites,Bobbie Rhoads,F,6,18,Female success 9,Yes,Yes,2,0.375,0.3,80,,59,F9_S,6,1.6,5.266667,5.96,4.866667,5.533333,,,,6.175,5.75,5.725,5.883333,1.725,1.2,1.4625
Gold Rush Nugget Bucket,Mark Peterson,M,6,19,Male success 11,Yes,Yes,2,0.4,0.24,60,,57,M11_S,5.9,2.3,5.033333,5.63,5.2,5.333333,6,,6,5.75,5.625,5.625,5.666667,2,1.733333,1.866667
Lumi,Jesse Genet,F,6,19,Female fail 13,Yes,No,2,-,-,-,,56,F13_F,6.4,1.9,4.866667,5.7,5.5,5.75,,4.833333,4.833333,5.8,5.875,5.675,5.783333,1.375,1.066667,1.220833
The BoobyPack,Christina Conrad,F,6,19,Female success 21,Yes,Yes,2,0.4,0.32,80,,58,F21_S,5.090909,2.636364,4.969697,4.76,4.533333,4.066667,,5.5,5.5,5.659091,5.454545,5.681818,5.598485,1.863636,2.333333,2.098485
Naja,Catalina Girald,F,6,22,Female fail 15,No,No,0,-,-,-,,64,F15_F,6.153846,2,5.358974,5.514286,5.047619,5.619048,,6.5,6.5,5.846154,5.826923,5.948718,5.873932,1.730769,1.589744,1.660256
Budsies,Alex Furmansky,M,6,24,Male fail 5,Yes,No,2,-,-,-,,90,M5_F,5.636364,2.090909,4.818182,5.28,5,5.466667,5,,5,5.795455,5.613636,5.568182,5.659091,1.931818,1.30303,1.617424
PullyPalz,Julie Thompson,F,6,24,Female success 16,Yes,Yes,1,0.5,0.357,71.4,,63,F16_S,5.583333,1.833333,4.777778,4.733333,3.944444,4.777778,,5.833333,5.833333,5.979167,5.375,5.395833,5.583333,1.75,1.666667,1.708333
Paleo Diet Foods,Shauna Sledge,F,6,27,Female fail 17,No,No,0,-,-,-,,66,F17_F,6.090909,1.727273,5.727273,5.8,5.722222,5.333333,,6.6,6.6,5.704545,6.068182,6.431818,6.068182,1.386364,1.393939,1.390152
Gato Cafe,Adriana Montano,F,6,29,Female fail 10,No,No,0,-,-,-,,65,F10_F,5.333333,2.25,4.75,5,3.333333,4.666667,,6,6,6.1875,5.395833,5.3125,5.631944,2.104167,1.444444,1.774306
Sarah Oliver Handbags,Sarah Oliver,F,7,10,Female success 18,Yes,Yes,3,1.25,0.833,66.64,,68,F18_S,6.272727,1.454545,4.909091,5.92,4.533333,4.866667,,5.5,5.5,6.090909,6.022727,5.659091,5.924242,1.545455,1.272727,1.409091
ezpz,Lindsey Laurain,F,7,13,Female fail 5,Yes,No,2,-,-,-,,67,F5_F,6,1.818182,5.424242,5.08,4.8,5,,6.5,6.5,5.954545,5.55303,5.878788,5.795455,1.840909,1.30303,1.57197
Major Mom,Angela Cody-Rouget,F,7,16,Female fail 14,No,No,0,-,-,-,,73,F14_F,5.7,2.1,4.333333,4.88,4.6,4.6,,5.2,5.2,5.525,5.75,5.5,5.591667,1.85,1.766667,1.808333
Float Baby,Kristi Ison,F,7,17,Female fail 8,No,No,0,-,-,-,,72,F8_F,5.25,2.583333,3.888889,5.066667,3.833333,4.166667,,6.166667,6.166667,5.1875,5.041667,5.0625,5.097222,2.458333,2.194444,2.326389
TuTuBlue,Sarah Buxton,F,7,18,Female fail 25,No,No,0,-,-,-,,71,F25_F,6,1.545455,5.030303,5.2,4.722222,4.888889,,5.2,5.2,5.75,5.424242,5.659091,5.611111,1.727273,1.424242,1.575758
Rags to Raches,Rachel Nilsson,F,7,19,Female success 17,Yes,Yes,1,2,1.333,66.65,,70,F17_S,5.846154,2.153846,4.948718,4.742857,3.904762,5,,6,6,6.173077,5.615385,5.615385,5.801282,1.807692,1.717949,1.762821
BetterBack,Katherine Krug,F,7,20,Female success 1,Yes,Yes,3,10,N/A,N/A,$750k as a loan for 36 months at 7.5% interest + 8% equity,69,F1_S,6.2,1.3,5.233333,5.7,5.777778,5.777778,,6.25,6.25,5.75,5.775,5.875,5.8,1.525,1.3,1.4125
The Good Promise,Karen Posada,F,7,22,Female fail 24,No,No,0,-,-,-,,77,F24_F,5.111111,2.666667,3.481481,5.24,3.866667,4.533333,,5.5,5.5,5.5,5,5.027778,5.175926,2.25,2.074074,2.162037
InchBug,Brenda Lee Feldman,F,7,25,Female fail 11,Yes,No,1,-,-,-,,76,F11_F,6.454545,1.454545,4.878788,5.72,5.4,5.733333,,5.666667,5.666667,5.954545,5.954545,6.068182,5.992424,1.409091,1.515152,1.462121
FashionTap,Amy Roiland,F,7,26,Female fail 7,Yes,No,1,-,-,-,,75,F7_F,5.9,2.1,4.533333,5.92,5.533333,5.733333,,5.8,5.8,5.308333,5.325,5.575,5.402778,2.175,1.933333,2.054167
Dollop Gourmet,Heather Saffer,F,7,27,Female success 6,Yes,Yes,2,0.375,0.3,80,,74,F6_S,5.166667,2.666667,4.305556,4.8,4.444444,4.888889,,5.833333,5.833333,5.5,5.055556,4.979167,5.178241,2.0625,1.722222,1.892361
PMS Bites,Tania Green,F,7,29,Female fail 18,No,No,0,-,-,-,,78,F18_F,5.75,1.916667,5.388889,5.666667,5.333333,6.166667,,5.833333,5.833333,6.208333,5.833333,6.145833,6.0625,1.333333,1.25,1.291667
GoodHangups,Leslie Pierson,F,8,2,Female success 10,Yes,Yes,3,1,N/A,N/A,"$100k as a loan for a 10% stake, which increases to 20% if the loan is not repaid within a year",79,F10_S,5.181818,2.636364,4.727273,5.433333,4.111111,5.722222,,5.6,5.6,6.113636,5.681818,5.409091,5.734848,1.863636,1.939394,1.901515
Sandilake,Melissa Lay,F,8,5,Female fail 19,Yes,No,1,-,-,-,,85,F19_F,5.363636,2.636364,5.060606,5.44,5,5.733333,,5.333333,5.333333,6.090909,5.477273,5.545455,5.704545,1.659091,1.454545,1.556818
EcoFlower,Meagan Bowman,F,8,7,Female success 7,Yes,Yes,1,4,2,50,,81,F7_S,6.083333,1.666667,4.888889,5,4.611111,4.444444,,6.5,6.5,5.729167,5.541667,5.6875,5.652778,1.895833,1.611111,1.753472
The Style Club,Hillary Novelle Hahn,F,8,7,Female success 24,Yes,Yes,2,2.5,N/A,N/A,$500k as a loan at 8% interest for a 22% stake,80,F24_S,5.666667,2.333333,4.222222,3.64,4.333333,4.666667,,5.25,5.25,5.5,5.138889,5.111111,5.25,2.166667,1.703704,1.935185
Milk Snob,Melanie Disbrow,F,8,8,Female success 14,Yes,Yes,3,2.5,1.5,60,,84,F14_S,5.3,2.6,4.933333,5.1,4.833333,4.888889,,5.5,5.5,5.275,5.1,5.175,5.183333,2.4,2.233333,2.316667
ENERGYbits,Catherine Arnston,F,8,9,Female fail 4,No,No,0,-,-,-,,83,F4_F,6.25,1.625,5.166667,5.76,5,5.266667,,4.666667,4.666667,5.625,5.78125,5.875,5.760417,1.53125,1.208333,1.369792
Line Cutterz,Vance Zahorski,M,8,9,Male success 13,Yes,Yes,1,0.6,0.364,60.67,,91,M13_S,6.3,1.7,5.866667,6.88,6.466667,6.6,6.2,,6.2,6,6.175,6.2,6.125,1.325,1.3,1.3125
Sealed by Santa,Sarah Blain,F,8,11,Female success 19,Yes,Yes,3,0.75,N/A,N/A,"$150k, $75k of it as a loan, for a 22.5% stake",82,F19_S,5.5,2.333333,4.055556,5,4.666667,4.833333,,5.666667,5.666667,5.75,5.145833,5.104167,5.333333,2.270833,1.916667,2.09375
NicePipes,Lisa Binderow,F,8,13,Female fail 16,Yes,No,1,-,-,-,,54,F16_F,6,1.727273,4.666667,5.5,5.666667,4.444444,,3.6,3.6,5.522727,5.363636,5.704545,5.530303,1.5,1.575758,1.537879
PinBlock,Vladislav Smolyanskyy,M,8,13,Male success 17,Yes,Yes,1,0.5,0.2,40,,94,M17_S,6,2,4.833333,5.8,4.666667,5.222222,4.833333,,4.833333,5.958333,5.666667,5.9375,5.854167,1.8125,1.916667,1.864583
dBest Products,Richard Elden,M,8,15,Male success 6,Yes,Yes,4,7,N/A,N/A,$350k for a 20% stake + a $2 million line of credit at 15% interest,93,M6_S,4.8,3,4.033333,5.1,4.416667,5.25,4.833333,,4.833333,5.2,5.05,5.325,5.191667,1.95,1.833333,1.891667
Little Nomad,Elizabeth Granados,F,8,15,Female fail 12,No,No,0,-,-,-,,86,F12_F,5.6,2.2,4.6,5.6,5.166667,5.083333,,5,5,5.7,5.625,5.375,5.566667,1.725,1.566667,1.645833
The Kooler,Stan Efferding,M,8,15,Male success 21,Yes,Yes,1,0.333,0.15,45.05,,92,M21_S,5.230769,2.307692,4.205128,5.371429,4.904762,4.666667,6.333333,,6.333333,5.576923,5.480769,5.711538,5.589744,1.884615,1.794872,1.839744
Tranquilo,Melissa Gersin,F,8,16,Female success 25,Yes,Yes,3,1,1.333,133.3,,87,F25_S,6.4,1.4,5.866667,5.833333,6.222222,5.833333,,5.75,5.75,6.1,6.05,6.15,6.1,1.45,1.233333,1.341667
DartDrones,Abby Speicher,F,8,18,Female success 4,Yes,Yes,2,3,3,100,,89,F4_S,6.181818,2.454545,5.181818,5.32,4.733333,5.066667,,5.666667,5.666667,5.340909,5.363636,5.727273,5.477273,1.840909,1.787879,1.814394
Blendtique,Billy Dim,M,8,19,Male success 4,Yes,Yes,1,2.5,N/A,N/A,"$250,000 loan at 8% interest for 10% equity",97,M4_S,6.545455,1.090909,4.878788,5.575,4.722222,5.222222,5.8,,5.8,5.363636,5.75,5.795455,5.636364,1.454545,1.212121,1.333333
The Sleep Styler,Tara Brown,F,8,19,Female success 23,Yes,Yes,1,0.375,0.3,80,,88,F23_S,6.333333,1.583333,5.305556,6.366667,6.222222,6,,6.333333,6.333333,6.090278,6.104167,6.041667,6.078704,1.270833,1.277778,1.274306
SeedSheet,Cam MacKugler,M,8,20,Male success 20,Yes,Yes,3,5,2.5,50,,96,M20_S,6.2,1.5,5.266667,5,5.266667,5.4,6,,6,5.9,5.85,5.925,5.891667,1.575,1.533333,1.554167
Under the Weather,Rick Pescovitz,M,8,20,Male success 24,Yes,Yes,3,6,4,66.67,,95,M24_S,5.8,2,5.3,6.12,5.266667,5.4,6.2,,6.2,5.783333,5.575,5.825,5.727778,1.725,1.9,1.8125
Peoples Designs,Tyler Peoples,M,8,23,Male success 16,Yes,Yes,1,0.3,0.225,75,,98,M16_S,5.909091,1.909091,4.757576,5.48,4.733333,5,5.166667,,5.166667,5.522727,5.522727,5.795455,5.613636,1.613636,1.454545,1.534091
Bridal Buddy,Heather Stenlake,F,8,24,Female success 3,Yes,Yes,3,0.75,0.25,33.33,,99,F3_S,6.454545,1.727273,5.939394,6.23,6,6.133333,,6.166667,6.166667,6.068182,5.863636,6.181818,6.037879,1.636364,1.666667,1.651515
Delighted by Dessert,Makenzie Marzluff,F,9,4,Female success 5,Yes,Yes,2,5,2.4,48,,100,F5_S,5.666667,2.181818,4.694444,5.266667,5.611111,5.444444,,6.5,6.5,6.229167,5.6875,5.541667,5.819444,1.645833,1.25,1.447917
DreamPad,Randall Redfield,M,9,8,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Coco Taps,Vincent Zaldivar,M,9,12,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
The Christmas Tree Hugger,Ryan Kenny,M,9,13,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Elliptical Stroller,Pier Paolo Visconti,M,9,14,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Recharj,Daniel Turissini,M,9,15,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Fresh Bellies,Saskla Sorrosa,F,10,13,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Dude Robe,Howie Busch,M,9,16,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Flip-It Cap,Stephen Epstein,M,10,19,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Luma Soda,Jim Otteson,M,10,19,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Swoveralls,Kyle Bergman,M,10,20,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Doughp,Kelsey Witherow,M,10,22,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Plop Star,Tyler Jay,M,11,4,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Pili Hunters,Jason Thomas,M,11,6,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Peanut Butter Pump,Andy Scherer,M,11,7,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Matador Meggings,Valentine Aseyov,M,15,3,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Kit Lender,Forrest Shinners,M,11,9,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
KidsLuv,Ashi Jelinek,F,11,15,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Abii,Laura Boccanfuso,F,11,21,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Rule Breaker Snacks,Nancy Kalish,F,12,12,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Salad Sling,Jill Visit,F,12,21,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Lion Latch,Lerin Lockwood,F,13,1,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
Creation Nation,Karen Nation,F,12,23,D,No,No,0,-,-,-,,,,,,,,,,,,,,,,,,,
